"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Some test name","","Mon Sep 29 12:39:36 UTC 2025","passed","Mon Sep 29 12:39:36 UTC 2025","","io.github.vikindor.other.LabelsTest","io.github.vikindor.other.LabelsTest","testDynamicLabels"
"","1","Some test name","","Mon Sep 29 12:39:36 UTC 2025","passed","Mon Sep 29 12:39:36 UTC 2025","","io.github.vikindor.other.LabelsTest","io.github.vikindor.other.LabelsTest","testStaticLabels"
"","16386","shouldFindIssueNumberTest()","","Mon Sep 29 12:39:09 UTC 2025","passed","Mon Sep 29 12:39:26 UTC 2025","","io.github.vikindor.annotated.AnnotatedTest","io.github.vikindor.annotated.AnnotatedTest","shouldFindIssueNumberTest"
"","9691","shouldFindIssueNumberTest()","","Mon Sep 29 12:39:26 UTC 2025","passed","Mon Sep 29 12:39:36 UTC 2025","","io.github.vikindor.lambda.LambdaTest","io.github.vikindor.lambda.LambdaTest","shouldFindIssueNumberTest"
"","9234","shouldFindIssueNumberTest()","","Mon Sep 29 12:39:36 UTC 2025","passed","Mon Sep 29 12:39:45 UTC 2025","","io.github.vikindor.simple.SimpleTest","io.github.vikindor.simple.SimpleTest","shouldFindIssueNumberTest"
