"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Some test name","","Sun Sep 28 15:27:29 UTC 2025","passed","Sun Sep 28 15:27:29 UTC 2025","","io.github.vikindor.other.LabelsTest","io.github.vikindor.other.LabelsTest","testDynamicLabels"
"","14385","shouldFindIssueNumberTest()","","Sun Sep 28 15:27:05 UTC 2025","passed","Sun Sep 28 15:27:19 UTC 2025","","io.github.vikindor.annotated.AnnotatedTest","io.github.vikindor.annotated.AnnotatedTest","shouldFindIssueNumberTest"
"","1","Some test name","","Sun Sep 28 15:27:29 UTC 2025","passed","Sun Sep 28 15:27:29 UTC 2025","","io.github.vikindor.other.LabelsTest","io.github.vikindor.other.LabelsTest","testStaticLabels"
"","9284","shouldFindIssueNumberTest()","","Sun Sep 28 15:27:19 UTC 2025","passed","Sun Sep 28 15:27:29 UTC 2025","","io.github.vikindor.lambda.LambdaTest","io.github.vikindor.lambda.LambdaTest","shouldFindIssueNumberTest"
"","9032","shouldFindIssueNumberTest()","","Sun Sep 28 15:27:29 UTC 2025","passed","Sun Sep 28 15:27:38 UTC 2025","","io.github.vikindor.simple.SimpleTest","io.github.vikindor.simple.SimpleTest","shouldFindIssueNumberTest"
