"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","1","0","Simple test","0"
"0","","0","","1","0","Simple test with lambdas","0"
"0","GitHub","0","Issues","2","0","Issue search","0"
"0","","0","","1","0","Simple test with annotations","0"
